10027	IGNORE	(Information Disclosure - Suspicious Comments)
10202	IGNORE	(Absence of Anti-CSRF Tokens)
10038	IGNORE	(Content Security Policy (CSP) Header Not Set)
10049	IGNORE	(Non-Storable Content)
10094	IGNORE	(Base64 Disclosure)
10096	IGNORE	(Timestamp Disclosure - Unix)
10104	IGNORE	(User Agent Fuzzer)
10106	IGNORE	(HTTP Only Site)
10109	IGNORE	(Modern Web Application)
10110	IGNORE	(Dangerous JS Functions)
10202	IGNORE	(Absence of Anti-CSRF Tokens)
20012	IGNORE	(Anti-CSRF Tokens Check)
90022	IGNORE	(Application Error Disclosure)
90027	IGNORE	(Cookie Slack Detector)
90033	IGNORE	(Loosely Scoped Cookie)
90034	IGNORE	(Cloud Metadata Potentially Exposed)
40039	IGNORE	(Web Cache Deception)
110009	IGNORE	(Full Path Disclosure)
90004	IGNORE	(Insufficient Site Isolation Against Spectre Vulnerability)
